SYMBOL,NAME,PRICE,CHANGE,%CHANGE,LOW,HIGH,PREVIOUS CLOSE
AMZN,Amazon.com Inc,224.92,+1.63,+0.73,218.73,226.21,223.29
AXP,American Express Co,298.65,+5.57,+1.9,292,302.72,293.08
AMGN,Amgen Inc,263.38,+2.19,+0.84,262.21,269.61,261.19
AAPL,Apple Inc,254.49,+4.7,+1.88,245.69,255,249.79
BA,Boeing Co,177.35,+0.31,+0.18,175.31,182,177.04
CAT,Caterpillar Inc,366.04,+5.67,+1.57,357.24,371.49,360.37
CSCO,Cisco Systems Inc,58.52,+0.89,+1.54,57.27,58.78,57.63
CVX,Chevron Corp,142.85,+1.7,+1.2,140.55,142.85,141.15
GS,Goldman Sachs Group Inc,566.1,+12.11,+2.19,553.38,572.9,553.99
HD,Home Depot Inc,392.6,+7.58,+1.97,383.05,393.29,385.02
HON,Honeywell International Inc,228.32,+1.44,+0.63,224.62,229.75,226.88
IBM,International Business Machines Corp,223.36,-0.56,-0.25,221.68,227.68,223.92
JNJ,Johnson & Johnson,144.47,+0.89,+0.62,142.75,145.47,143.58
KO,Coca-Cola Co,62.55,+0.1,+0.16,62.28,63.06,62.45
JPM,JPMorgan Chase & Co,237.6,+4.64,+1.99,231.59,239.21,232.96
MCD,McDonald’s Corp,292.68,+2.45,+0.84,289.3,296.1,290.23
MMM,3M Co,129.28,+2.15,+1.69,125.75,130.35,127.13
MRK,Merck & Co Inc,98.05,-1.47,-1.48,97.9,99.68,99.52
MSFT,Microsoft Corp,436.6,-0.43,-0.1,428.63,443.74,437.03
NKE,Nike Inc,76.94,-0.16,-0.21,74.86,78,77.1
PG,Procter & Gamble Co,168.06,-1.13,-0.67,167.5,169.87,169.19
SHW,Sherwin-Williams Co,345.47,+3.09,+0.9,339.3,349.35,342.38
TRV,Travelers Companies Inc,240.76,+3.05,+1.28,234.17,242.55,237.71
UNH,Unitedhealth Group Inc,500.13,+10.88,+2.22,488.73,502.64,489.25
CRM,Salesforce Inc,343.65,+7.42,+2.21,331.14,346.45,336.23
NVDA,NVIDIA Corp,134.7,+4.02,+3.08,128.22,135.28,130.68
VZ,Verizon Communications Inc,39.93,-0.04,-0.1,39.92,40.39,39.97
V,Visa Inc,317.71,+2.83,+0.9,312.28,320,314.88
WMT,Walmart Inc,92.24,-1.16,-1.24,91.63,93.75,93.4
DIS,Walt Disney Co,112.03,+0.66,+0.59,110.43,112.97,111.37
